checked,is_technic,is_electric,is_train,set_num,name,year,theme_id,num_parts,comment
1,1,1,0,9607-1,Technology Activity Set,1994,529,318,///!!!
1,1,1,0,9609-1,Technology Resource Set,1995,507,1730,///!!!
1,1,1,0,9615-1,Motor Add-On for Simple Mechanisms,1997,507,3,///!!!
1,1,1,0,9628-1,Mechanisms Power Add-On Set,2008,532,3,///!!!
1,1,1,0,9631-1,Simple and Motorized Machines Activity Pack,1997,529,24,///!!!
1,1,1,0,9636-1,Solar Add-on,2000,507,3,///!!!Where was this???
1,1,1,0,9637-1,Speed Computer Add-on,2000,19,2,///!!!
1,1,1,0,9645-1,Motorized Simple Machines Set,1997,529,0,///!!!
1,1,1,0,9646-1,Wheel and Axle Classroom Pack,1994,529,0,///!!!
1,1,1,0,9647-1,Studios Camera and Software,2000,507,2,///!!!Classic
1,1,1,0,9648-1,Education Resource Set [NXT Supplemental Set],2006,519,674,///!!!
1,1,1,0,9657-1,Senior Solutions Challenge Kit,2012,398,1612,///!!!
1,1,1,0,9660-2,Motorized Mechanisms Set,2008,529,0,///!!!
1,1,1,0,9665-1,Mechanical Engineering Set,2001,507,322,///!!!
1,1,1,0,9667-1,Solar Panel,2010,532,1,//////!!!!!!
1,1,1,0,9668-1,Energy Display,2010,532,1,///!!!
1,1,1,0,9669-1,Electric Battery Box 9V 150 mAh (Rechargeable),2010,532,1,///!!!
1,1,1,0,9670-1,E-Motor with Gear Reduction Ratio 9.5 : 1,2010,532,1,///!!!
1,1,1,0,9680-1,"Energy Work, Power Starter Set",1999,531,792,///!!!
1,1,1,0,9681-1,eLAB Renewable Energy Set,1999,531,713,///!!!
1,1,1,0,9684-1,Renewable Energy Set II,2003,507,732,///!!!
1,1,1,0,9686-1,Simple and Motorized Mechanisms Base Set,2009,507,409,///!!!
1,1,1,0,9688-1,Renewable Energy Add-On Set,2010,532,12,///!!!
1,1,1,0,9693-1,"Rechargeable Battery for Lego Mindstorms NXT, DC plug",2010,259,1,///!!!
1,1,1,0,9694-1,NXT Color Sensor,2010,259,1,///!!!
1,1,1,0,9695-1,Mindstorms Education Resource Set,2010,259,819,///!!!
1,1,1,0,970041-1,128 MM Connecting Leads (Pack of 3),2002,525,3,
1,1,1,0,9701-1,Control Lab Building Set,1995,507,576,///!!!
1,1,1,0,970115-1,1280 mm Connecting Leads (Pack of 3),2002,525,3,///!!!
1,1,1,0,9702-1,Control System Building Set,1993,507,227,///!!!
1,1,1,0,9702-2,Elevator Kit,2002,530,160,///!!!
1,1,1,0,970653-1,Pole Reversing Switch,2003,524,1,///!!!
1,1,1,0,970654-1,9-Volt Connecting Leads (One each of 128mm 256 mm 1280 mm),2002,525,3,///!!!
1,1,1,0,970687-1,Team Challenge Upgrade Kit,2002,524,95,///!!!
1,1,1,0,9707-1,Intelligent House Building Set,1996,507,164,//InternetOfThings in 1996
1,1,1,0,9709-1,RCX Programmable Brick,1998,520,1,///!!!Legendary!!!
1,1,1,0,9713-1,Infrared Transmission Tower,1998,520,2,///!!!
1,1,1,0,9719-1,"Robotics Invention System, Version 1.0",1998,260,736,
1,1,1,0,9723-1,Cities and Transportation,2000,507,394,///!!!
1,1,1,0,9725-1,ROBOLAB Amusement Park Set,1999,520,248,///!!!
1,1,1,0,9725-2,ROBOLAB Amusement Park Set,2002,520,270,///!!!
1,1,1,0,9730-1,RoboSports,1998,260,91,//////!!!!!!
1,1,1,0,9731-1,Vision Command [RCX Digital Colour Camera],2000,260,139,///!!!
1,1,1,0,9732-1,Extreme Creatures,1998,260,149,///!!!
1,1,1,0,9735-1,Robotics Discovery Set,1999,260,390,///!!!
1,1,1,0,9736-1,Exploration Mars,1999,260,158,///!!!
1,1,1,0,9738-1,Remote Control,1998,260,1,///!!!For RCX
1,1,1,0,9747-1,"Robotics Invention System, Version 1.5",1999,260,729,///!!!
